case,mode,primary_metric,better_direction,agent_repetitions,agent_feasible_repetitions,agent_retention_compliant_repetitions,stochastic_operationally_feasible,agent_mean,agent_median,agent_min,agent_max,stochastic_value,agent_advantage_absolute,agent_advantage_percent_of_stochastic,outcome,stochastic_retention_compliant,stochastic_realized_aggregator_revenue,stochastic_realized_pto_cost,stochastic_realized_grid_net_cost,stochastic_optimizer_calls,stochastic_llm_request_attempts,stochastic_llm_total_tokens,stochastic_llm_approximate_cost_usd,stochastic_workbook,solver_names,solver_statuses,solver_wall_seconds,optimizer_attempts,selected_buy_shift,selected_sell_shift
aw_route6_late_return,selfish,realized_aggregator_revenue,higher,5,5,5,True,24.80918376021766,24.80918376021766,24.80918376021766,24.80918376021766,12.92928610354224,11.87989765667542,91.88363194639709,agent_win,True,12.92928610354224,142.2221471389646,129.2928610354223,2,0,0,0,results/revision/stochastic_v5/aw_route6_late_return/selfish/stochastic_programming.xlsx,['gurobi'],['ok/optimal'],7.712625,2,0.24,0.0
aw_charger_bank_shutdown,selfish,realized_aggregator_revenue,higher,5,5,5,True,13.691190701306889,13.01761689373298,10.33975416893734,21.50231051771119,13.01762205934381,0.6735686419630795,5.174283282249728,agent_win,True,13.01762205934381,143.1937758037005,130.1761537443567,1,0,0,0,results/revision/stochastic_v5/aw_charger_bank_shutdown/selfish/stochastic_programming.xlsx,['gurobi'],['ok/optimal'],10.700287,1,0.16,0.0
aw_combined_evening,selfish,realized_aggregator_revenue,higher,5,5,5,True,32.35604669984328,33.12492536716248,28.73251583205412,33.75788866906208,37.34744069549667,-4.9913939956533895,-13.364755128335336,agent_loss,True,37.34744069549667,147.4363738371479,110.0889331416512,3,0,0,0,results/revision/stochastic_v5/aw_combined_evening/selfish/stochastic_programming.xlsx,['gurobi'],['ok/optimal'],2.676678,3,0.0,-0.24
