mode,method,n_derating_episodes,n_nominal_episodes,derating_pto_cost_mean,nominal_pto_cost_mean,pto_cost_delta_derating_minus_nominal,derating_aggregator_revenue_mean,nominal_aggregator_revenue_mean,aggregator_revenue_delta_derating_minus_nominal,derating_grid_net_cost_mean,nominal_grid_net_cost_mean,grid_net_cost_delta_derating_minus_nominal,derating_buy_kwh_mean,nominal_buy_kwh_mean,buy_kwh_delta_derating_minus_nominal,derating_sell_kwh_mean,nominal_sell_kwh_mean,sell_kwh_delta_derating_minus_nominal
altruistic,agent,5,1,334.3485215026571,338.7182337637862,-4.369712261129109,35.598691457284296,41.343294027696274,-5.744602570411978,298.7498300453728,297.3749397360898,1.3748903092829892,6450.000559314518,6500.0004874227525,-49.9999281082346,1950.0000000001344,1944.4451372498625,5.554862750271923
altruistic,numerical,1,1,334.3485215026571,338.7182337637862,-4.369712261129109,35.598691457284296,41.343294027696274,-5.744602570411978,298.7498300453728,297.3749397360898,1.3748903092829892,6450.000559314518,6500.0004874227525,-49.9999281082346,1950.0000000001344,1944.4451372498625,5.554862750271923
altruistic,oracle,1,1,334.3485215026571,338.7182337637862,-4.369712261129109,35.5986914572843,41.343294027696274,-5.7446025704119705,298.7498300453728,297.3749397360898,1.3748903092829892,6450.000559314518,6500.0004874227525,-49.9999281082346,1950.0000000001344,1944.4451372498625,5.554862750271923
altruistic,rule_text,1,1,334.3485215026571,338.7182337637862,-4.369712261129109,35.598691457284296,41.343294027696274,-5.744602570411978,298.7498300453728,297.3749397360898,1.3748903092829892,6450.000559314518,6500.0004874227525,-49.9999281082346,1950.0000000001344,1944.4451372498625,5.554862750271923
selfish,agent,5,1,382.1359573089459,403.7988152064335,-21.66285789748764,59.99919305172871,73.19866548633883,-13.199472434610117,322.1367642572172,330.60014972009463,-8.463385462877454,4800.0,5200.0,-400.0,550.0000246278246,744.4453845461267,-194.44535991830207
selfish,numerical,1,1,382.1359573089459,403.7988152064335,-21.66285789748764,59.99919305172872,73.19866548633883,-13.199472434610108,322.1367642572172,330.60014972009463,-8.463385462877454,4800.0,5200.0,-400.0,550.0000246278246,744.4453845461267,-194.44535991830207
selfish,oracle,1,1,382.1359573089459,403.7988152064335,-21.66285789748764,59.99919305172872,73.19866548633883,-13.1994724346101,322.1367642572171,330.60014972009463,-8.463385462877511,4800.0,5200.0,-400.0,550.0000246278246,744.4453845461267,-194.44535991830207
selfish,rule_text,1,1,382.1359573089459,403.7988152064335,-21.66285789748764,59.99919305172871,73.19866548633883,-13.199472434610117,322.1367642572172,330.60014972009463,-8.463385462877454,4800.0,5200.0,-400.0,550.0000246278246,744.4453845461267,-194.44535991830207
