depot,fleet_size,configuration,runs,feasibility_rate,workflow_wall_seconds_mean,llm_latency_seconds_mean,llm_tokens_total,llm_cost_usd_total,solver_wall_seconds_mean,solver_wall_seconds_max,model_variables_max,model_constraints_max,peak_rss_mb_mean
depot_a,8,full_agentic,6,1.0,68.41598083333334,59.934540500000004,678358,0.13988935,0.17068991666666666,0.208463,5220.0,3454.0,335.91450000000003
depot_a,8,rule_text_event_trigger,6,1.0,8.209831666666666,0.0,0,0.0,0.17425433333333332,0.195397,5220.0,3454.0,279.354
depot_a,16,full_agentic,6,1.0,71.85710833333333,60.7792015,889301,0.18445823,1.1177297499999999,1.570874,19620.0,11449.0,374.1686666666667
depot_a,16,rule_text_event_trigger,6,1.0,10.451611,0.0,0,0.0,0.9716412499999999,1.235785,19620.0,11449.0,314.81850000000003
depot_a,32,full_agentic,6,1.0,81.611073,63.287019166666674,1306665,0.28137675,3.4293725,8.089325,76068.0,41263.0,769.4381666666667
depot_a,32,rule_text_event_trigger,6,1.0,17.5605455,0.0,0,0.0,3.252469083333333,4.772391,76068.0,41263.0,717.6621666666666
depot_b,8,full_agentic,6,1.0,82.65273783333333,70.68269283333333,777432,0.15987856,0.13668777777777774,0.260671,5220.0,3454.0,346.653
depot_b,8,rule_text_event_trigger,6,1.0,8.346157,0.0,0,0.0,0.17136683333333333,0.210665,5220.0,3454.0,284.819
