episode_id,condition,mode,configuration,method,repetition,stochastic,days_completed,operationally_feasible,all_daily_retention_floors_compliant,economic_comparison_eligible,total_realized_pto_cost,total_realized_aggregator_revenue,total_realized_grid_net_cost,total_realized_buy_kwh,total_realized_sell_kwh,minimum_observed_soc_fraction,maximum_reserve_shortfall_kwh,total_baseline_revenue_retention_floor,aggregate_revenue_above_floor,total_optimizer_calls,total_optimize_decisions,llm_successful_requests,llm_total_tokens,llm_approximate_cost_usd,total_run_wall_seconds,solver_names,day_to_day_carryover_max_abs_error_kwh,first_settlement_carryover_max_abs_error_kwh,run_signature_sha256_by_day,initial_day1_energy_kwh_by_bus,terminal_day3_energy_kwh_by_bus
md_charger_derating__selfish__oracle_event_trigger__r001,derating,selfish,oracle_event_trigger,oracle,1,False,3,True,True,True,382.1359573089459,59.99919305172872,322.1367642572172,4800.0,550.0000246278246,0.2,0.0,0.0,,7.0,4.0,0.0,0.0,0.0,51.947785,"[""gurobi""]",0.0,4.444424904193056e-05,"[""79ee0f09430b211045ac02fe59fd20e82badb2caee73c70235cb3f255ff5563f"", ""f610fd382ad2e77f89dd9b223d2e9a7e4b808e7e29e9cef2b828c614d678a872"", ""c0da3ac196079dd3fb48ae63cf9998d7b8acab7ae9eb1995978ddaa7e84eb472""]","{""1"": 73.0, ""2"": 73.0, ""3"": 73.0, ""4"": 73.0, ""5"": 73.0, ""6"": 73.0, ""7"": 73.0, ""8"": 73.0}","{""1"": 97.09, ""2"": 136.251999, ""3"": 145.69539, ""4"": 151.149389, ""5"": 117.497244, ""6"": 130.926662, ""7"": 138.345389, ""8"": 124.149389}"
md_nominal__selfish__scheduled_daily_replan__r001,nominal,selfish,oracle_event_trigger,scheduled_daily_replan,1,False,3,True,True,True,403.7988152064335,73.19866548633883,330.6001497200946,5200.0,744.4453845461265,0.2,0.0,0.0,,4.0,2.0,0.0,0.0,0.0,1833.575971,"[""gurobi""]",0.0,2.222223363901321e-05,"[""b1db4d136d5097a1fb103397a2706fc79ac042958fce62fee267bfda27712210"", ""efd39beebc80cb934e817576a3ea928ac7f4e2ef147264703dff4d2ebc6f19b2"", ""2281aa22adb6bef4a2c16d8758b2362560a27646f57c02d23adfb39c40660ea1""]","{""1"": 73.0, ""2"": 73.0, ""3"": 73.0, ""4"": 73.0, ""5"": 73.0, ""6"": 73.0, ""7"": 73.0, ""8"": 73.0}","{""1"": 138.448, ""2"": 142.576, ""3"": 143.224744, ""4"": 90.252478, ""5"": 171.274, ""6"": 131.752, ""7"": 149.265378, ""8"": 127.629589}"
