strategy,source_workbook,mode,prompt_paradigm,paper_reported_cost_eur,prior_interval_recomputed_cost_eur,native_same_interval_cost_eur,paper_minus_native_cost_eur,paper_reported_revenue_eur,prior_interval_recomputed_revenue_eur,native_same_interval_revenue_eur,bought_kwh,sold_kwh,paper_value_reproduced_by_prior_interval_tariff,source_sha256,recommended_cost_eur,recommended_revenue_eur,recommended_bought_kwh,recommended_sold_kwh,recommendation_source
S1,paper_outputs\day_ahead\table_06\S1_dumb_charging_no_v2g.xlsx,dumb_charging_no_v2g,not_applicable,218.1013869209809,218.1013869209809,213.67128065395096,4.430106267029942,0.0,0.0,0.0,2400.0,0.0,True,055c025a3539321482546b2ca4868a75c41255b09073a9ba0d8d4d1002f6e17b,218.98269209809263,0.0,2400.0,0.0,corrected day-ahead ladder; S1 includes earliest-charging tie-break
S2,paper_outputs\day_ahead\table_06\S2_smart_charging_no_v2g.xlsx,smart_charging_no_v2g,not_applicable,130.47060490463215,130.47060490463215,129.29286103542233,1.17774386920982,0.0,0.0,0.0,1600.0,0.0,True,e3c2f657632db15426458470834e6a057f04f814dc9adaa665e737534d98f62d,129.29286103542233,0.0,1600.0,0.0,corrected day-ahead ladder; S1 includes earliest-charging tie-break
S3,paper_outputs\day_ahead\table_06\S3_profit_based_aggregator.xlsx,selfish,few-shot-cot,140.58607785909376,140.58607785909376,138.40712057203365,2.178957287060115,20.304325815497062,20.304325815497062,20.913695503913782,1900.0,300.0,True,c0158a28beb1faa973b095c4b66f66956fd14f54f5f4528d606da4c0bfa8cabe,138.40712057203365,20.913695503913782,1900.0,300.0,optimizer-native workbook summary
S4,paper_outputs\day_ahead\table_06\S4_operational_based_aggregator.xlsx,altruistic,few-shot-cot,118.9083476503984,118.9083476503984,116.07708022647554,2.831267423922853,2.3895928820060446,2.3895928820060446,2.4138159212984314,2000.0,400.0,True,3937359b31a3898ba8b806fc423a030ab13bfc8c883046305a71660fba89214c,116.07708022647554,2.4138159212984314,2000.0,400.0,optimizer-native workbook summary
