configuration,mode,scope,optimizer_attempts,buy_multiplier_values,buy_multiplier_min,buy_multiplier_mean,buy_multiplier_max,sell_multiplier_values,sell_multiplier_min,sell_multiplier_mean,sell_multiplier_max,mean_reference_buy_arithmetic_mean,mean_chosen_buy_arithmetic_mean,mean_buy_arithmetic_mean_gap,mean_reference_sell_arithmetic_mean,mean_chosen_sell_arithmetic_mean,mean_sell_arithmetic_mean_gap,mean_buy_centered_temporal_mae,mean_sell_centered_temporal_mae,mean_chosen_buy_dispatch_weighted_mean,mean_chosen_sell_dispatch_weighted_mean
deterministic_pricing_substitution,selfish,all_attempts,35,1085,1.09,1.1291244239631335,1.18,1085,0.58,0.6459907834101382,0.74,1.134941507296403,1.13208436443926,-0.0028571428571428914,0.6457271481817114,0.6514414338959972,0.005714285714285735,3.172065784643304e-17,1.5860328923216527e-17,1.0966666666666667,0.7279999999999999
deterministic_pricing_substitution,selfish,initial_attempts,25,785,1.1,1.1313375796178342,1.18,785,0.58,0.6403821656050955,0.72,1.1343149356117896,1.1343149356117896,0.0,0.6455418169782056,0.6455418169782056,0.0,0.0,0.0,1.1,0.7200000000000001
evaluator_removal,selfish,all_attempts,27,799,1.05,1.1290362953692115,1.18,799,0.58,0.6406758448060075,0.74,1.1317730885294348,1.129437880544432,-0.0023352079850028095,0.6468244337099786,0.6468609134181409,3.647970816233201e-05,0.0034087696898668124,0.0012512695156076696,1.0939999999999999,0.7211111111111111
evaluator_removal,selfish,initial_attempts,27,799,1.05,1.1290362953692115,1.18,799,0.58,0.6406758448060075,0.74,1.1317730885294348,1.129437880544432,-0.0023352079850028095,0.6468244337099786,0.6468609134181409,3.647970816233201e-05,0.0034087696898668124,0.0012512695156076696,1.0939999999999999,0.7211111111111111
full_agentic,selfish,all_attempts,40,1196,1.05,1.1301003344481604,1.18,1196,0.55,0.6381772575250836,0.82,1.1357420815382515,1.1321453918252826,-0.0035966897129688204,0.6472609126617335,0.6376202298644159,-0.009640682797317529,0.0049117710668147175,0.020660114236973632,1.095703125,0.7088888888888889
full_agentic,selfish,initial_attempts,25,785,1.05,1.129248407643312,1.18,785,0.58,0.6402038216560509,0.72,1.1343149356117896,1.131226898737706,-0.0030880368740834195,0.6455418169782056,0.6453904656268541,-0.00015135135135135424,0.004303278151347981,0.00028634039444850516,1.0931250000000001,0.7200000000000001
rule_parser_trigger_substitution,selfish,all_attempts,46,1422,1.01,1.130220182841069,1.24,1422,0.41,0.6333825597749648,0.82,1.1350426738436017,1.1337490480135248,-0.0012936258300767934,0.6460707176320094,0.6323454640967874,-0.013725253535222002,0.003370890059566504,0.02148662861516169,1.0896969722563412,0.6985858585858586
rule_parser_trigger_substitution,selfish,initial_attempts,25,785,1.08,1.130420382165605,1.18,785,0.58,0.6403566878980892,0.72,1.1343149356117896,1.1335425911743287,-0.0007723444374607167,0.6455418169782056,0.6455322632384193,-9.553739786301039e-06,0.001152826572790613,0.00037976597619940403,1.0981818181818181,0.716
