episode_id,condition,mode,configuration,method,repetition,stochastic,day,case_id,reused_complete_workbook,workbook,status,timesteps_completed,operationally_feasible,economic_comparison_eligible,realized_pto_cost,realized_aggregator_revenue,realized_grid_net_cost,realized_buy_kwh,realized_sell_kwh,minimum_observed_soc_fraction,terminal_minimum_soc_fraction,maximum_reserve_shortfall_kwh,reserve_violation_timesteps,baseline_revenue_retention_floor,baseline_revenue_retention_compliant,optimizer_calls,optimize_decisions,llm_successful_requests,llm_total_tokens,llm_approximate_cost_usd,run_wall_seconds,solver_names,initial_realized_energy_kwh_by_bus,terminal_realized_energy_kwh_by_bus,carryover_max_abs_error_kwh,first_settlement_carryover_max_abs_error_kwh,run_signature_sha256
md_charger_derating__selfish__oracle_event_trigger__r001,derating,selfish,oracle_event_trigger,oracle,1,False,1,md_charger_derating_day1,False,results/revision/multiday_nominal_selfish_900s_v1/runs/md_charger_derating__selfish__oracle_event_trigger__r001/day_1.xlsx,complete,48,True,True,129.71621113896455,32.27344165667574,97.44276948228881,1800.0,400.0,0.2,0.20484082191780822,0.0,0,,,2,1,0,0,0,12.058332,"[""gurobi""]","{""1"": 73.0, ""2"": 73.0, ""3"": 73.0, ""4"": 73.0, ""5"": 73.0, ""6"": 73.0, ""7"": 73.0, ""8"": 73.0}","{""1"": 75.784, ""2"": 77.764, ""3"": 93.672889, ""4"": 78.768889, ""5"": 87.688, ""6"": 87.274, ""7"": 76.824889, ""8"": 74.766889}",0.0,0.0,79ee0f09430b211045ac02fe59fd20e82badb2caee73c70235cb3f255ff5563f
md_charger_derating__selfish__oracle_event_trigger__r001,derating,selfish,oracle_event_trigger,oracle,1,False,2,md_charger_derating_day2,False,results/revision/multiday_nominal_selfish_900s_v1/runs/md_charger_derating__selfish__oracle_event_trigger__r001/day_2.xlsx,complete,48,True,True,132.33884128065392,16.809304495912816,115.52953678474113,1650.0,150.0,0.20484082191780822,0.22273369863013698,0.0,0,,,2,1,0,0,0,18.873896,"[""gurobi""]","{""1"": 75.784, ""2"": 77.764, ""3"": 93.672889, ""4"": 78.768889, ""5"": 87.688, ""6"": 87.274, ""7"": 76.824889, ""8"": 74.766889}","{""1"": 93.256, ""2"": 90.85, ""3"": 94.281789, ""4"": 104.157789, ""5"": 88.604444, ""6"": 100.768889, ""7"": 103.527789, ""8"": 81.297789}",0.0,1.111126580610744e-05,f610fd382ad2e77f89dd9b223d2e9a7e4b808e7e29e9cef2b828c614d678a872
md_charger_derating__selfish__oracle_event_trigger__r001,derating,selfish,oracle_event_trigger,oracle,1,False,3,md_charger_derating_day3,False,results/revision/multiday_nominal_selfish_900s_v1/runs/md_charger_derating__selfish__oracle_event_trigger__r001/day_3.xlsx,complete,48,True,True,120.0809048893274,10.91644689914016,109.16445799018723,1350.0,2.4627824630840677e-05,0.22273369863013698,0.266,0.0,0,,,3,2,0,0,0,21.015557,"[""gurobi""]","{""1"": 93.256, ""2"": 90.85, ""3"": 94.281789, ""4"": 104.157789, ""5"": 88.604444, ""6"": 100.768889, ""7"": 103.527789, ""8"": 81.297789}","{""1"": 97.09, ""2"": 136.251999, ""3"": 145.69539, ""4"": 151.149389, ""5"": 117.497244, ""6"": 130.926662, ""7"": 138.345389, ""8"": 124.149389}",0.0,4.444424904193056e-05,c0da3ac196079dd3fb48ae63cf9998d7b8acab7ae9eb1995978ddaa7e84eb472
md_nominal__selfish__scheduled_daily_replan__r001,nominal,selfish,oracle_event_trigger,scheduled_daily_replan,1,False,1,md_nominal_day1,False,results/revision/multiday_nominal_selfish_900s_v1/runs/md_nominal__selfish__scheduled_daily_replan__r001/day_1.xlsx,complete,48,True,True,130.95500442991218,38.90575538359066,92.04924904632152,1800.0,444.44444444444446,0.2,0.20133945205479453,0.0,0,,,0,0,0,0,0,2.354807,[],"{""1"": 73.0, ""2"": 73.0, ""3"": 73.0, ""4"": 73.0, ""5"": 73.0, ""6"": 73.0, ""7"": 73.0, ""8"": 73.0}","{""1"": 75.784, ""2"": 77.764, ""3"": 93.672889, ""4"": 73.488889, ""5"": 87.688, ""6"": 87.274, ""7"": 76.824889, ""8"": 74.766889}",0.0,0.0,b1db4d136d5097a1fb103397a2706fc79ac042958fce62fee267bfda27712210
md_nominal__selfish__scheduled_daily_replan__r001,nominal,selfish,oracle_event_trigger,scheduled_daily_replan,1,False,2,md_nominal_day2,False,results/revision/multiday_nominal_selfish_900s_v1/runs/md_nominal__selfish__scheduled_daily_replan__r001/day_2.xlsx,complete,48,True,True,140.79157013623978,19.467984305177122,121.32358583106266,1800.0,200.0,0.20133945205479453,0.2157309589041096,0.0,0,,,2,1,0,0,0,17.389839,"[""gurobi""]","{""1"": 75.784, ""2"": 77.764, ""3"": 93.672889, ""4"": 73.488889, ""5"": 87.688, ""6"": 87.274, ""7"": 76.824889, ""8"": 74.766889}","{""1"": 93.256, ""2"": 105.406, ""3"": 100.768889, ""4"": 78.741789, ""5"": 110.698, ""6"": 126.484, ""7"": 101.322678, ""8"": 96.153789}",0.0,1.1111113252582072e-05,efd39beebc80cb934e817576a3ea928ac7f4e2ef147264703dff4d2ebc6f19b2
md_nominal__selfish__scheduled_daily_replan__r001,nominal,selfish,oracle_event_trigger,scheduled_daily_replan,1,False,3,md_nominal_day3,False,results/revision/multiday_nominal_selfish_900s_v1/runs/md_nominal__selfish__scheduled_daily_replan__r001/day_3.xlsx,complete,48,True,True,132.05224064028147,14.824925797571048,117.2273148427104,1600.0,100.0009401016821,0.2157309589041096,0.24726712328767123,0.0,0,,,2,1,0,0,0,1813.831325,"[""gurobi""]","{""1"": 93.256, ""2"": 105.406, ""3"": 100.768889, ""4"": 78.741789, ""5"": 110.698, ""6"": 126.484, ""7"": 101.322678, ""8"": 96.153789}","{""1"": 138.448, ""2"": 142.576, ""3"": 143.224744, ""4"": 90.252478, ""5"": 171.274, ""6"": 131.752, ""7"": 149.265378, ""8"": 127.629589}",0.0,2.222223363901321e-05,2281aa22adb6bef4a2c16d8758b2362560a27646f57c02d23adfb39c40660ea1
